industry,name,rank,founded,country
IT Services & Consulting,Saksoft,5276,1999 (24 yrs old),USA
Auto Components,Nexteer Automotive,5273,1906 (117 yrs old),USA
IT Services & Consulting,ITCONS e-Solutions,5275,2007 (16 yrs old),USA
Real Estate,Puravankara Projects,5272,1975 (48 yrs old),United Arab Emirates
Fashion & Textile,Woodland,5271,1992 (31 yrs old),USA
Insurance,National Insurance Company,5268,1906 (117 yrs old),USA
Retail,Urban Ladder,5270,2012 (11 yrs old),USA
Fashion & Textile,Peter England,5267,1889 (134 yrs old),India
Media & Entertainment,Planetcast,5269,1996 (27 yrs old),USA
Education & Training,Seth M R Jaipuria School,5265,1992 (31 yrs old),Australia
IT Services & Consulting,QBurst Technologies,5266,2004 (19 yrs old),India
BPO,Datamatics Business Solutions,5262,1982 (41 yrs old),Canada
Engineering & Construction,Al Tasnim Enterprises,5264,1976 (47 yrs old),USA
Power,Bajaj Energy,5261,2008 (15 yrs old),USA
Insurance,Health India Tpa Services,5263,2002 (21 yrs old),USA
Healthcare,Dishman Carbogen Amcis,5260,2007 (16 yrs old),India
EdTech,Scaler Academy,5259,2019 (4 yrs old),Brazil
Industrial Machinery,Stanley Black & Decker,5258,1843 (180 yrs old),USA
Food Processing,Shree Renuka Sugars,5256,1998 (25 yrs old),USA
IT Services & Consulting,Globtier Infotech,5257,2005 (18 yrs old),Finland
IT Services & Consulting,Fingent,5255,2003 (20 yrs old),USA
Automobile,Atul Auto,5254,1982 (41 yrs old),USA
Fitness & Wellness,Gold's Gym,5253,1965 (58 yrs old),Indonesia
Industrial Machinery,Bhavani Industries,5252,1987 (36 yrs old),UK
Auto Components,International Automotive Components,5251,2006 (17 yrs old),Canada
Automobile,Nippon Audiotronix,5250,1996 (27 yrs old),USA
Automobile,AVL,5249,1948 (75 yrs old),USA
Media & Entertainment,Sun TV Network,5248,1993 (30 yrs old),USA
Healthcare,Claris Lifesciences Ahmedabad,5246,1999 (24 yrs old),USA
BPO,Invensis Technologies,5247,2000 (23 yrs old),USA
Hospitality,Hardcastle Restaurants,5245,1995 (28 yrs old),USA
IT Services & Consulting,SISL Infotech,5244,2007 (16 yrs old),Bermuda
IT Services & Consulting,Cyber Infrastructure,5243,2003 (20 yrs old),USA
Pharma,Cipla Industries,5242,1998 (25 yrs old),USA
Pharma,MDC Group of Companies,5240,,USA
Financial Services,Chaitanya India Fin Credit,5241,2009 (14 yrs old),USA
Engineering & Construction,Karamtara Engineering,5238,1996 (27 yrs old),India
Automobile,Mahindra Electric,5239,1994 (29 yrs old),USA
Retail,FabAlley,5237,2012 (11 yrs old),China
IT Services & Consulting,Tredence,5236,2013 (10 yrs old),Romania
Analytics & KPO,Elico Healthcare Services,5235,1999 (24 yrs old),USA
Education & Training,AISECT,5234,1985 (38 yrs old),USA
Education & Training,Rooman Technologies,5232,1999 (24 yrs old),Germany
Ports & Shipping,Krishnapatnam Port,5233,2008 (15 yrs old),USA
Telecom,RadiSys,5230,1987 (36 yrs old),South Korea
Biotechnology,Cryoviva Biotech,5231,2006 (17 yrs old),USA
Pharma,Alchem International,5229,1935 (88 yrs old),USA
Real Estate,Mantri Developers,5228,1999 (24 yrs old),USA
Telecom,Uniinfo Telecom Services,5227,2010 (13 yrs old),Brazil
Automobile,Rinder India,5225,1997 (26 yrs old),USA
Engineering & Construction,Drake & Scull International PJSC,5224,1881 (142 yrs old),USA
Agro Chemicals,HPM Chemicals & Fertilizers,5226,1977 (46 yrs old),USA
Media & Entertainment,Gtpl Hathway,5223,2006 (17 yrs old),USA
Pharma,Alchem International,5222,1935 (88 yrs old),India
Biotechnology,Cryoviva Biotech,5219,2006 (17 yrs old),USA
Law Enforcement & Security,Peregrine Guarding,5221,"HQ - Gurgaon/Gurugram, Haryana, India Law Enforcement & Security 501-1k Employees (India) Facility Management Services",China
Pharma,Fourrts India Laboratories,5220,1977 (46 yrs old),Germany
Telecom,RadiSys,5218,1987 (36 yrs old),USA
Auto Components,MARK EXHAUST SYSTEMS,5217,1993 (30 yrs old),USA
Telecom,American Tower Corporation,5216,1995 (28 yrs old),Israel
Engineering & Construction,R.V.R. PROJECTS,5213,1976 (47 yrs old),South Korea
NBFC,Shriram Finance,5214,1979 (44 yrs old),Taiwan
Real Estate,Vascon Engineers,5215,1986 (37 yrs old),USA
Education & Training,AISECT,5210,1985 (38 yrs old),USA
Food Processing,The Hershey Company,5212,1894 (129 yrs old),USA
,QX Global Group,5209,2003 (20 yrs old),USA
Financial Services,PC Financial Services,5211,1995 (28 yrs old),Sweden
IT Services & Consulting,Apisero,5208,2016 (7 yrs old),USA
Agriculture,Murugappa Group,5206,1900 (123 yrs old),India
Fashion & Textile,Liberty Shoes,5205,1954 (69 yrs old),USA
IT Services & Consulting,CPA Global,5204,1969 (54 yrs old),India
Other,Hindustan Field Services,5202,,Israel
Financial Services,VAYA Finserv,5203,2014 (9 yrs old),USA
Investment Banking / Venture Capital / Private Equity,Muthoot Homefin India,5201,2011 (12 yrs old),USA
Law Enforcement & Security,Tops Security,5182,1970 (53 yrs old),USA
Accounting & Auditing,T R Chadha & Co Llp,5180,1946 (77 yrs old),USA
Education & Training,University of Petroleum & Energy Studies,5207,2003 (20 yrs old),Finland
Industrial Machinery,Ador Welding,5181,1951 (72 yrs old),USA
Industrial Machinery,TIDC India,5178,1960 (63 yrs old),Poland
Electrical Equipment,Toshiba Transmission & Distribution Systems,5177,1894 (129 yrs old),USA
Real Estate,SALARPURIA SATTVA,5179,1986 (37 yrs old),USA
Education & Training,University of Petroleum & Energy Studies,5176,2003 (20 yrs old),USA
Accounting & Auditing,T R Chadha & Co Llp,5175,1946 (77 yrs old),USA
Pharma,Baxter Pharmaceutical Solutions LLC.,5174,1931 (92 yrs old),USA
Investment Banking / Venture Capital / Private Equity,Muthoot Homefin India,5173,2011 (12 yrs old),USA
Consumer Electronics & Appliances,Elin Appliances,5172,1969 (54 yrs old),USA
Pharma,Vertex,5171,1989 (34 yrs old),USA
Industrial Machinery,Toshiba,5170,1875 (148 yrs old),USA
Automobile,Fiat Chrysler Automobiles,5167,2014 (9 yrs old),USA
Financial Services,Mr Cooper,5169,1994 (29 yrs old),USA
Industrial Machinery,Emerson Climate Technologies,5166,1890 (133 yrs old),India
IT Services & Consulting,Bravura Solutions,5168,2004 (19 yrs old),Norway
Education & Training,Empower Pragati,5165,2010 (13 yrs old),India
Insurance,United India Insurance Company,5163,1938 (85 yrs old),South Korea
Financial Services,Consero Global Solutions,5164,2006 (17 yrs old),USA
Building Material,Reliance Cement Company,5162,2004 (19 yrs old),Argentina
Law Enforcement & Security,Securens System,5161,2012 (11 yrs old),USA
FMCG,Baramati Agro,5160,1988 (35 yrs old),South Korea
Pharma,Abbott Nutrition International,5159,1910 (113 yrs old),India
Pharma,Samarth LifeSciences,5157,1963 (60 yrs old),USA
Industrial Machinery,Sterling Tools,5158,1979 (44 yrs old),USA
Beverage,Wagh Bakri Tea Group,5155,1915 (108 yrs old),USA
IT Services & Consulting,Hexagon Capability Center,5153,1987 (36 yrs old),USA
Internet,Sterling Talent Solutions,5154,1975 (48 yrs old),Germany
IT Services & Consulting,H&R Block,5152,1955 (68 yrs old),China
,Global Hospital Pune India,5156,2012 (11 yrs old),South Korea
IT Services & Consulting,Mashreq Global Services,5150,2005 (18 yrs old),USA
,Global Hospital Pune India,5148,2012 (11 yrs old),Poland
IT Services & Consulting,Mashreq Global Services,5151,2005 (18 yrs old),USA
Telecom,NTT Global Networks,5149,2000 (23 yrs old),USA
IT Services & Consulting,NTT DATA Business Solutions,5147,,USA
Analytics & KPO,Markelytics Solutions,5146,2003 (20 yrs old),USA
IT Services & Consulting,DSM Infocom,5145,2004 (19 yrs old),USA
Pharma,Tablets (India),5144,1938 (85 yrs old),USA
Insurance,AIG,5142,2009 (14 yrs old),Argentina
IT Services & Consulting,GS Lab,5141,2003 (20 yrs old),USA
Agro Chemicals,Gujarat State Fertilizers & Chemicals,5139,1962 (61 yrs old),USA
Pharma,MidasCare Pharmaceuticals,5143,1986 (37 yrs old),UK
Pharma,Merck Life Science,5140,1668 (355 yrs old),India
Auto Components,Machino Plastics,5137,1987 (36 yrs old),USA
Recruitment,Verifacts Services,5138,2004 (19 yrs old),Canada
IT Services & Consulting,Corporate Infotech,5136,2007 (16 yrs old),USA
IT Services & Consulting,Prolifics Corporation,5135,1978 (45 yrs old),USA
Hospitality,Emirates Flight Catering,5133,1982 (41 yrs old),Japan
Metals & Mining,MSPL,5134,1961 (62 yrs old),USA
Power,LM Wind Power,5132,1940 (83 yrs old),USA
Aviation,AISATS,5131,2008 (15 yrs old),USA
IT Services & Consulting,Uneecops Technologies,5130,1995 (28 yrs old),UK
Pharma,ZIM Laboratories,5129,1984 (39 yrs old),Germany
Education & Training,Billabong High International School,5127,2009 (14 yrs old),South Korea
Financial Services,Western Union,5128,1851 (172 yrs old),USA
Pharma,Zee Laboratories,5125,1993 (30 yrs old),Turkey
Industrial Machinery,Puzzolana Machinery Fabricators,5126,1964 (59 yrs old),India
Pharma,MEDOPHARM,5124,1970 (53 yrs old),USA
Retail,Citykart Retail,5122,2016 (7 yrs old),Canada
Financial Services,Pierian Services,5123,2002 (21 yrs old),USA
Investment Banking / Venture Capital / Private Equity,VERITY GLOBAL SOLUTIONS,5121,,USA
Iron & Steel,Tata Steel Long Products,5120,1982 (41 yrs old),USA
Marketing & Advertising,Opporture,5118,,United Arab Emirates
Auto Components,Grupo Antolin,5119,1950 (73 yrs old),Poland
Retail,Al-Futtaim Group,5117,1930 (93 yrs old),China
Industrial Machinery,Veer-O-- Metals,5116,1965 (58 yrs old),USA
Printing & Publishing,Mobius Knowledge Services,5114,2002 (21 yrs old),Netherlands
IT Services & Consulting,Vindhya e-Info Media,5115,2006 (17 yrs old),Brazil
Healthcare,Sakra World Hospital,5113,2013 (10 yrs old),USA
Financial Services,Bnp Paribas Securities,5112,1848 (175 yrs old),Canada
Fashion & Textile,Banswara Syntex,5111,1976 (47 yrs old),USA
Retail,High Street Essentials,5109,,USA
BPO,Knowledge Splice Services pvt ltd.,5110,2011 (12 yrs old),New Zealand
Education & Training,SpeedLabs,5108,2015 (8 yrs old),Bermuda
Fashion & Textile,Garware Technical Fibres,5107,1976 (47 yrs old),South Korea
Furniture & Furnishing,Greenpanel Industries,5106,2017 (6 yrs old),USA
Healthcare,Ivy Hospital,5105,2008 (15 yrs old),USA
Government,Government of Maharashtra,5102,,USA
IT Services & Consulting,Espire Infolabs,5104,2001 (22 yrs old),Germany
Government,CSIR,5103,1945 (78 yrs old),Germany
Food Processing,MTR Foods,5081,1924 (99 yrs old),USA
FMCG,Kangaro Industries,5101,1994 (29 yrs old),Ireland
Law Enforcement & Security,TÜV Rheinland,5080,1872 (151 yrs old),Canada
Import & Export,IndustryBuying.com,5079,2013 (10 yrs old),India
Pharma,Themis Medicare,5078,1969 (54 yrs old),Hong Kong
IT Services & Consulting,In Time Tec Visionsoft,5074,2009 (14 yrs old),USA
Iron & Steel,Indian Metals & Ferro Alloys,5076,1961 (62 yrs old),USA
Industrial Machinery,Shaily Engineering Plastics,5077,1980 (43 yrs old),USA
Analytics & KPO,Cactus Communications,5073,2002 (21 yrs old),USA
Logistics,Vulcan Express,5071,2013 (10 yrs old),USA
Analytics & KPO,Kalkine,5072,2014 (9 yrs old),USA
Fashion & Textile,Sel Manufacturing Co.,5068,1969 (54 yrs old),USA
Insurance,Policyboss.com,5070,2003 (20 yrs old),USA
Auto Components,Sanoh,5069,1939 (84 yrs old),USA
Banking,NatWest Markets,5067,2016 (7 yrs old),USA
,Ford India,5066,,USA
IT Services & Consulting,Appcino Technologies,5065,2013 (10 yrs old),USA
Chemicals / Agri Inputs,Polyplex,5064,1984 (39 yrs old),USA
IT Services & Consulting,Molecular Connections,5063,2001 (22 yrs old),India
BPO,Cameo Corporate Services,5062,1985 (38 yrs old),USA
Agro Chemicals,Zuari Agro Chemicals,5060,1967 (56 yrs old),USA
BPO,Mas Callnet,5059,1990 (33 yrs old),USA
Engineering & Construction,Nippon Koei India,5058,2008 (15 yrs old),Malaysia
Oil & Gas,Dee Piping System,5061,1983 (40 yrs old),USA
Pharma,Brinton Pharmaceuticals,5056,2014 (9 yrs old),Israel
Fashion & Textile,Van Heusen,5055,1921 (102 yrs old),China
IT Services & Consulting,Sungard Availability Services,5057,1968 (55 yrs old),USA
IT Services & Consulting,OodlesTechnologies,5054,2009 (14 yrs old),USA
Industrial Machinery,Trelleborg,5052,1952 (71 yrs old),USA
IT Services & Consulting,Plada Infotech Services,5053,2010 (13 yrs old),Australia
Education & Training,Pmkvy,5051,2015 (8 yrs old),USA
Engineering & Construction,Millennium Engineers & Contractors,5050,1999 (24 yrs old),USA
Auto Components,Sanjeev Auto Parts Manufacturers,5048,1988 (35 yrs old),China
Government,Ordnance Factory,5049,1775 (248 yrs old),USA
Iron & Steel,ISMT,5047,1977 (46 yrs old),USA
IT Services & Consulting,Nexval Infotech,5046,2009 (14 yrs old),USA
Healthcare,Sentiss Pharma,5045,1990 (33 yrs old),USA
Auto Components,Calsonic Kansei Motherson Auto Products,5044,1975 (48 yrs old),Singapore
Power,Essar Power,5042,1997 (26 yrs old),USA
Healthcare,Rajiv Gandhi Cancer Institute & Research Centre,5043,1996 (27 yrs old),USA
IT Services & Consulting,Aquity Solutions,5041,1999 (24 yrs old),USA
EdTech,SkillVertex,5039,2021 (2 yrs old),USA
FinTech,Incred Finance,5038,2016 (7 yrs old),UK
Software Product,Synopsys,5035,1986 (37 yrs old),India
Iron & Steel,Atibir Industries,5040,2000 (23 yrs old),Finland
IT Services & Consulting,Systems Plus Transformations,5036,,India
Auto Components,Padmini VNA Mechatronics,5037,1991 (32 yrs old),USA
Industrial Machinery,Synergies Castings,5033,1999 (24 yrs old),USA
Internet,Shopclues,5032,2011 (12 yrs old),UK
Internet,HomeShop18,5030,2008 (15 yrs old),Canada
IT Services & Consulting,Fluentgrid,5031,1998 (25 yrs old),USA
Industrial Machinery,Micromatic Machine Tools,5029,1973 (50 yrs old),India
Animation & VFX,FUJIFILM,5027,2008 (15 yrs old),USA
Food Processing,Namaste India Foods,5028,2014 (9 yrs old),USA
Hospitality,TAJSATS AIR CATERING,5025,1976 (47 yrs old),USA
Logistics,Trackon Courier,5026,2002 (21 yrs old),Finland
Real Estate,Solitaire World,5024,1986 (37 yrs old),India
Industrial Machinery,Radheya Machining,5023,2000 (23 yrs old),USA
Recruitment,Creative Hands HR Consultancy,5022,2012 (11 yrs old),USA
Law Enforcement & Security,Helloverify,5021,2012 (11 yrs old),USA
FinTech,BharatPe,5019,2018 (5 yrs old),UK
Internet,Google Operations Center,5020,,Canada
Pharma,Gufic Biosciences,5017,1970 (53 yrs old),USA
Furniture & Furnishing,Spacewood,5018,1994 (29 yrs old),USA
Automobile,Sundaram Motors,5016,1998 (25 yrs old),USA
IT Services & Consulting,Indus Net Technologies,5014,1997 (26 yrs old),USA
IT Services & Consulting,Data-Core Systems,5015,1988 (35 yrs old),Germany
FinTech,Onicra Credit Rating Agency,5013,1993 (30 yrs old),USA
NBFC,IKF Finance,5012,1991 (32 yrs old),USA
Retail,Sales India,5011,1971 (52 yrs old),USA
IT Services & Consulting,Microsense,5010,1982 (41 yrs old),USA
Electronics Manufacturing,Flash Viven Machining Technologies,5009,2013 (10 yrs old),Germany
Pharma,Acme Generics LLP,5008,2005 (18 yrs old),Netherlands
Retail,Sales India,5006,1971 (52 yrs old),India
NBFC,IKF Finance,5007,1991 (32 yrs old),UK
IT Services & Consulting,Microsense,5005,1982 (41 yrs old),UK
FinTech,Onicra Credit Rating Agency,5004,1993 (30 yrs old),India
Pharma,Metrochem Api,5003,2004 (19 yrs old),USA
Pharma,Cipla Health,5001,2013 (10 yrs old),USA
Healthcare,"Apollo Gleneagles Hospitals, Kolkata",4983,2003 (20 yrs old),USA
Engineering & Construction,Sri Gopikrishna Infrastructure,5002,2007 (16 yrs old),USA
Software Product,CapeStart,4981,2014 (9 yrs old),Singapore
Financial Services,Motilal Oswal,4982,1987 (36 yrs old),China
Metals & Mining,Toyota Tsusho,4978,1999 (24 yrs old),USA
Automobile,Concorde Motors,4980,1972 (51 yrs old),USA
Leather,Superhouse,4979,2006 (17 yrs old),Australia
Building Material,Ratnamani Metals and Tubes,4977,1983 (40 yrs old),Cayman Islands
Management Consulting,Qdegrees Services,4976,2013 (10 yrs old),Canada
Investment Banking / Venture Capital / Private Equity,Kosamattam Finance,4975,1987 (36 yrs old),USA
Engineering & Construction,Alghanim International,4972,1960 (63 yrs old),Taiwan
Oil & Gas,Confidence Petroleum India,4974,1997 (26 yrs old),Hong Kong
Financial Services,Muthoot Capital Services,4973,1994 (29 yrs old),USA
BPO,Silverskills,4971,2001 (22 yrs old),USA
Logistics,Sequel Logistics,4970,2004 (19 yrs old),USA
,SLK Global Solutions,4969,,USA
Industrial Machinery,Greentech Industries,4968,2008 (15 yrs old),USA
Engineering & Construction,MEP Infrastructure Developers,4967,2002 (21 yrs old),USA
IT Services & Consulting,Wissen Technology,4966,2015 (8 yrs old),USA
Internet,OnsiteGo,4965,2010 (13 yrs old),Monaco
IT Services & Consulting,CES,4964,1996 (27 yrs old),USA
NBFC,HDFC Home Loan,4963,1977 (46 yrs old),USA
Media & Entertainment,Carnival Cinemas,4962,2012 (11 yrs old),USA
IT Services & Consulting,AQM Technologies,4961,2000 (23 yrs old),USA
IT Services & Consulting,Atyati Technologies,4959,2006 (17 yrs old),Hong Kong
Internet,Zepto,4960,2021 (2 yrs old),India
Automobile,TVS Mobility,4958,1911 (112 yrs old),Panama
Beauty & Personal Care,Kimberly-Clark,4956,1872 (151 yrs old),USA
Oil & Gas,Oceaneering International,4955,1964 (59 yrs old),USA
Industrial Machinery,Super Auto Forge,4957,1975 (48 yrs old),Luxembourg
Auto Components,Bony Polymers,4954,1981 (42 yrs old),USA
IT Services & Consulting,E2logy Software Solutions,4953,2005 (18 yrs old),USA
Logistics,Bangalore International Airport,4952,2001 (22 yrs old),USA
FMCG,Prabhat Dairy,4950,1998 (25 yrs old),Finland
BPO,Elcamino Software,4951,2010 (13 yrs old),China
IT Services & Consulting,Alchemy Techsol India,4949,2014 (9 yrs old),USA
Petrochemicals,The Supreme Ind Ltd Jalgaon,4948,1942 (81 yrs old),USA
Chemicals,Gujarat Alkalies & Chemicals,4947,1973 (50 yrs old),Switzerland
Education & Training,Asia-Pacific Institute of Management,4946,1996 (27 yrs old),USA
IT Services & Consulting,e-Zest,4945,2000 (23 yrs old),Finland
Printing & Publishing,Thomson Digital,4944,1962 (61 yrs old),USA
Healthcare,R L Fine Chem,4941,1984 (39 yrs old),USA
IT Services & Consulting,Aris Global Software,4942,1987 (36 yrs old),USA
Food Processing,Unibic Foods,4940,2004 (19 yrs old),Ireland
Banking,The Co-operative Bank,4939,1872 (151 yrs old),Canada
Software Product,Petpooja,4943,2011 (12 yrs old),Germany
Fashion & Textile,Rupa,4938,1968 (55 yrs old),USA
Internet,Avis,4937,1946 (77 yrs old),Brazil
Iron & Steel,Arjas Steel,4936,1993 (30 yrs old),Canada
Oil & Gas,Kent plc,4935,1919 (104 yrs old),USA
Fitness & Wellness,Cure foods,4934,2016 (7 yrs old),Taiwan
Facility Management Services,SAR Group,4933,1988 (35 yrs old),USA
Industrial Machinery,Groz Engineering Tools,4931,1976 (47 yrs old),Saudi Arabia
IT Services & Consulting,Cogencis Information Services,4932,2007 (16 yrs old),India
IT Services & Consulting,TRINAMIX,4929,2012 (11 yrs old),USA
Non-Profit,ICICI Foundation for Inclusive Growth,4927,2008 (15 yrs old),Brazil
Non-Profit,Naandi Foundation,4928,1998 (25 yrs old),USA
Defence & Aerospace,BARC,4925,1945 (78 yrs old),India
Auto Components,SMR Automotive Systems India,4926,1935 (88 yrs old),New Zealand
Consumer Electronics & Appliances,iBall,4924,2001 (22 yrs old),USA
Real Estate,The Phoenix Mills,4923,1905 (118 yrs old),China
Non-Profit,Save the Children,4922,2008 (15 yrs old),India
Consumer Electronics & Appliances,Symphony,4921,1988 (35 yrs old),USA
Iron & Steel,MSP Steel & Power,4920,1930 (93 yrs old),Canada
NBFC,Cashpor Micro Credit,4930,2002 (21 yrs old),UK
Telecom,ATC Telecom Infrastructure,4917,2004 (19 yrs old),Brazil
Oil & Gas,SHV Energy,4919,1996 (27 yrs old),USA
IT Services & Consulting,QA InfoTech,4918,2003 (20 yrs old),USA
Auto Components,Meenakshi Polymers,4916,1989 (34 yrs old),USA
Electronics Manufacturing,La-Gajjar Machineries,4914,1935 (88 yrs old),South Korea
Industrial Machinery,Technosoft Engineering Projects,4915,1999 (24 yrs old),Argentina
EdTech,NxtWave,4913,2020 (3 yrs old),USA
Electrical Equipment,Pace Power Systems,4912,1949 (74 yrs old),USA
Packaging,AGI Glaspac,4911,1972 (51 yrs old),USA
Logistics,Cargo Service Center India,4910,1994 (29 yrs old),UK
IT Services & Consulting,GSPANN Technologies,4908,2004 (19 yrs old),USA
Internet,Cogoport,4907,2016 (7 yrs old),India
Pharma,Neon Laboratories,4909,1982 (41 yrs old),Singapore
Banking,Commonwealth Bank of Australia,4906,1911 (112 yrs old),Germany
Healthcare,Charak Pharma,4904,1947 (76 yrs old),USA
Logistics,The Professional Couriers,4905,1986 (37 yrs old),USA
Industrial Machinery,TMEIC,4903,2003 (20 yrs old),USA
Consumer Electronics & Appliances,ASUS,4901,1989 (34 yrs old),USA
Automobile,Tafe Motors & Tractors,4902,,USA
Auto Components,Bellsonica Auto Component,4880,1956 (67 yrs old),USA
Electrical Equipment,APOLLO POWER SYSTEMS,4879,1985 (38 yrs old),USA
Industrial Machinery,Europa Locks,4878,1984 (39 yrs old),USA
IT Services & Consulting,Miracle Software Systems,4876,1994 (29 yrs old),India
Software Product,Nuance Communications,4877,1992 (31 yrs old),USA
Travel & Tourism,Satguru Travels and Tour Services,4875,1989 (34 yrs old),India
IT Services & Consulting,Cadsys,4874,1989 (34 yrs old),USA
Iron & Steel,ArcelorMittal,4872,2006 (17 yrs old),USA
Industrial Machinery,Ashok Iron Works,4873,1974 (49 yrs old),USA
Fashion & Textile,Bombay Dyeing,4870,1879 (144 yrs old),Australia
Telecom,VisionTek,4871,1993 (30 yrs old),Germany
IT Services & Consulting,Path Infotech,4869,1991 (32 yrs old),USA
IT Services & Consulting,Scope eKnowledge Center,4866,1987 (36 yrs old),Thailand
Building Material,RMC Readymix,4868,1996 (27 yrs old),China
Internet,ShopX,4865,2015 (8 yrs old),USA
Industrial Automation,Falcon Autotech,4867,2004 (19 yrs old),India
IT Services & Consulting,Mobiloitte Technologies,4864,2004 (19 yrs old),Taiwan
Packaging,Flexituff Ventures International,4863,1966 (57 yrs old),Chile
IT Services & Consulting,Damco Solutions,4862,1996 (27 yrs old),USA
Recruitment,US Tech Solutions,4861,2000 (23 yrs old),USA
BPO,ecare India,4860,2000 (23 yrs old),USA
Ports & Shipping,IMC,4859,1935 (88 yrs old),USA
Roads/Railways,Faiveley Transport,4858,1869 (154 yrs old),USA
Hardware & Networking,Presto Infosolutions,4856,2000 (23 yrs old),USA
Oil & Gas,Oil India,4857,1959 (64 yrs old),Argentina
Ports & Shipping,Anglo-Eastern Ship Management,4855,1974 (49 yrs old),USA
IT Services & Consulting,Cavisson Systems,4854,2011 (12 yrs old),Taiwan
IT Services & Consulting,Mobile Programming,4853,2001 (22 yrs old),South Korea
Jewellery,Lalitha Jewellery,4852,1983 (40 yrs old),USA
FMCG,N Ranga Rao And Sons,4851,1948 (75 yrs old),USA
Defence & Aerospace,ISRO Satellite Center,4849,1976 (47 yrs old),USA
Engineering & Construction,AL YAMAMA COMPANY,4848,1952 (71 yrs old),India
Healthcare,Geetanjali Medical College and Hospital,4847,2007 (16 yrs old),India
Other,BIC Cello,4850,1958 (65 yrs old),Thailand
Engineering & Construction,L&T Transportation Infrastructure,4846,,USA
Printing & Publishing,Newgen Knowledge Works,4845,1996 (27 yrs old),USA
IT Services & Consulting,Arya Omnitalk Wireless Solutions,4843,2002 (21 yrs old),China
IT Services & Consulting,NetTantra Technologies,4844,2009 (14 yrs old),Finland
Industrial Machinery,Ace Designers,4842,1979 (44 yrs old),India
Industrial Machinery,Mitsubishi Elevators,4841,1931 (92 yrs old),Singapore
Food Processing,Cremica Food Industries,4840,1978 (45 yrs old),USA
Industrial Machinery,TAL Manufacturing Solutions,4839,2000 (23 yrs old),USA
IT Services & Consulting,InfoBeans,4837,2000 (23 yrs old),USA
Hospitality,Sheraton Hotels and Resorts,4838,1995 (28 yrs old),Israel
Hospitality,Hotel Park Plaza,4836,1986 (37 yrs old),USA
IT Services & Consulting,Unique Identification Authority of India,4835,2009 (14 yrs old),USA
Automobile,Ford Business Services Center,4834,1998 (25 yrs old),Canada
,adani power maharashtra,4832,,USA
Building Material,KJS Cement,4833,2012 (11 yrs old),France
IT Services & Consulting,Pitney Bowes,4831,1920 (103 yrs old),China
Printing & Publishing,Canvera,4830,2007 (16 yrs old),Denmark
Fashion & Textile,PARAGON POLYMER PRODUCTS,4829,1975 (48 yrs old),USA
Clinical Research,Accutest Research Laboratories,4828,1998 (25 yrs old),USA
Power,Feedback Energy Distribution Company,4827,2012 (11 yrs old),South Korea
Chemicals,Himadri Speciality Chemical,4826,1987 (36 yrs old),USA
IT Services & Consulting,Futuresoft Solutions,4824,1996 (27 yrs old),India
Furniture & Furnishing,WAKEFIT INNOVATIONS,4825,2014 (9 yrs old),India
Food Processing,Kraft Heinz Company,4822,1994 (29 yrs old),India
Medical Equipment,Allengers Medical Systems,4823,1987 (36 yrs old),Israel
Printing & Publishing,Springer Nature,4820,2006 (17 yrs old),Norway
Oil & Gas,Nuberg Engineering,4821,1996 (27 yrs old),USA
Consumer Electronics & Appliances,Onida,4819,1981 (42 yrs old),India
Education & Training,Jain University,4818,2009 (14 yrs old),USA
IT Services & Consulting,Continuum Managed Services,4817,2005 (18 yrs old),USA
IT Services & Consulting,ExportersIndia,4816,1997 (26 yrs old),Poland
IT Services & Consulting,e-Procurement Technologies,4814,2006 (17 yrs old),Spain
Recruitment,DISYS,4815,1994 (29 yrs old),Netherlands
Auto Components,IM Gears,4813,1965 (58 yrs old),USA
Industrial Machinery,HYT Engineering,4811,1977 (46 yrs old),India
Industrial Machinery,EASi,4812,1981 (42 yrs old),USA
Accounting & Auditing,Suresh Surana & Associates,4810,1984 (39 yrs old),USA
Power,Saudi Electricity Company,4809,2000 (23 yrs old),USA
Oil & Gas,Chennai Petroleum Corporation,4808,1965 (58 yrs old),USA
Pharma,Marksans Pharma,4806,1992 (31 yrs old),USA
Biotechnology,Biotique,4807,2000 (23 yrs old),USA
Industrial Machinery,Carraro,4804,1932 (91 yrs old),USA
Pulp & Paper,Emami Paper Mills,4803,1982 (41 yrs old),USA
Insurance,RenewBuy,4805,2014 (9 yrs old),USA
NBFC,AVIOM,4802,2016 (7 yrs old),USA
Printing & Publishing,Jagran Prakashan,4801,1975 (48 yrs old),USA
Gaming,Light & Wonder,4783,1973 (50 yrs old),USA
Financial Services,GE Capital,4778,1932 (91 yrs old),Sweden
Import & Export,Jaipur Rugs,4782,1978 (45 yrs old),USA
Engineering & Construction,Petron Engineering Construction,4780,1976 (47 yrs old),USA
IT Services & Consulting,AppInventiv Technologies,4781,2015 (8 yrs old),USA
Engineering & Construction,SEW Infrastructure,4779,1960 (63 yrs old),Bermuda
Industrial Machinery,Emerson Electric Co.,4776,1890 (133 yrs old),USA
Logistics,Overnite Express,4777,1987 (36 yrs old),Germany
Logistics,Overnite Express,4775,1987 (36 yrs old),USA
Food Processing,Balaji Wafers,4773,1984 (39 yrs old),India
Financial Services,GE Capital,4774,1932 (91 yrs old),Israel
Engineering & Construction,SEW Infrastructure,4772,1960 (63 yrs old),USA
